state,district,year,quarter,registered_users,app_opens
Andaman & Nicobar Islands,north and middle andaman district,2018,1,632,0
Andaman & Nicobar Islands,south andaman district,2018,1,5846,0
Andaman & Nicobar Islands,nicobars district,2018,1,262,0
Andaman & Nicobar Islands,north and middle andaman district,2018,2,911,0
Andaman & Nicobar Islands,south andaman district,2018,2,8143,0
Andaman & Nicobar Islands,nicobars district,2018,2,351,0
Andaman & Nicobar Islands,north and middle andaman district,2018,3,1208,0
Andaman & Nicobar Islands,south andaman district,2018,3,10474,0
Andaman & Nicobar Islands,nicobars district,2018,3,467,0
Andaman & Nicobar Islands,north and middle andaman district,2018,4,1553,0
Andaman & Nicobar Islands,south andaman district,2018,4,13133,0
Andaman & Nicobar Islands,nicobars district,2018,4,536,0
Andaman & Nicobar Islands,north and middle andaman district,2019,1,2013,0
Andaman & Nicobar Islands,south andaman district,2019,1,15961,0
Andaman & Nicobar Islands,nicobars district,2019,1,622,0
Andaman & Nicobar Islands,north and middle andaman district,2019,2,2417,6118
Andaman & Nicobar Islands,south andaman district,2019,2,18621,43569
Andaman & Nicobar Islands,nicobars district,2019,2,693,2953
Andaman & Nicobar Islands,north and middle andaman district,2019,3,2662,22064
Andaman & Nicobar Islands,south andaman district,2019,3,20518,138190
Andaman & Nicobar Islands,nicobars district,2019,3,751,10853
Andaman & Nicobar Islands,north and middle andaman district,2019,4,2955,26253
Andaman & Nicobar Islands,south andaman district,2019,4,22202,139646
Andaman & Nicobar Islands,nicobars district,2019,4,803,11113
Andaman & Nicobar Islands,north and middle andaman district,2020,1,3315,30444
Andaman & Nicobar Islands,south andaman district,2020,1,24174,151529
Andaman & Nicobar Islands,nicobars district,2020,1,879,11613
Andaman & Nicobar Islands,north and middle andaman district,2020,2,4100,56992
Andaman & Nicobar Islands,south andaman district,2020,2,27626,231071
Andaman & Nicobar Islands,nicobars district,2020,2,984,17009
Andaman & Nicobar Islands,north and middle andaman district,2020,3,5355,76553
Andaman & Nicobar Islands,south andaman district,2020,3,34833,417785
Andaman & Nicobar Islands,nicobars district,2020,3,1147,21227
Andaman & Nicobar Islands,north and middle andaman district,2020,4,7076,125915
Andaman & Nicobar Islands,south andaman district,2020,4,43908,725321
Andaman & Nicobar Islands,nicobars district,2020,4,1412,35972
Andaman & Nicobar Islands,north and middle andaman district,2021,1,7833,121680
Andaman & Nicobar Islands,south andaman district,2021,1,48352,837589
Andaman & Nicobar Islands,nicobars district,2021,1,1573,45067
Andaman & Nicobar Islands,north and middle andaman district,2021,2,8493,596182
Andaman & Nicobar Islands,south andaman district,2021,2,51903,1270226
Andaman & Nicobar Islands,nicobars district,2021,2,1699,381815
Andaman & Nicobar Islands,north and middle andaman district,2021,3,9263,759314
Andaman & Nicobar Islands,south andaman district,2021,3,55873,1771107
Andaman & Nicobar Islands,nicobars district,2021,3,1846,591204
Andaman & Nicobar Islands,north and middle andaman district,2021,4,10002,171921
Andaman & Nicobar Islands,south andaman district,2021,4,59807,1863037
Andaman & Nicobar Islands,nicobars district,2021,4,1971,77952
Andaman & Nicobar Islands,north and middle andaman district,2022,1,10720,904869
Andaman & Nicobar Islands,south andaman district,2022,1,63487,2368756
Andaman & Nicobar Islands,nicobars district,2022,1,2081,573782
Andaman & Nicobar Islands,north and middle andaman district,2022,2,11379,963824
Andaman & Nicobar Islands,south andaman district,2022,2,66959,3404740
Andaman & Nicobar Islands,nicobars district,2022,2,2192,811449
Andaman & Nicobar Islands,north and middle andaman district,2022,3,11897,1176567
Andaman & Nicobar Islands,south andaman district,2022,3,70445,3607286
Andaman & Nicobar Islands,nicobars district,2022,3,2300,1284501
Andaman & Nicobar Islands,north and middle andaman district,2022,4,12361,313502
Andaman & Nicobar Islands,south andaman district,2022,4,73692,3881359
Andaman & Nicobar Islands,nicobars district,2022,4,2389,159232
Andaman & Nicobar Islands,north and middle andaman district,2023,1,12941,3103047
Andaman & Nicobar Islands,south andaman district,2023,1,77052,5450795
Andaman & Nicobar Islands,nicobars district,2023,1,2491,2458822
Andaman & Nicobar Islands,north and middle andaman district,2023,2,13600,3174229
Andaman & Nicobar Islands,south andaman district,2023,2,80112,6884657
Andaman & Nicobar Islands,nicobars district,2023,2,2617,4679790
Andaman & Nicobar Islands,north and middle andaman district,2023,3,14216,7130284
Andaman & Nicobar Islands,south andaman district,2023,3,83305,5950899
Andaman & Nicobar Islands,nicobars district,2023,3,2734,7463896
Andaman & Nicobar Islands,north and middle andaman district,2023,4,14813,1869462
Andaman & Nicobar Islands,south andaman district,2023,4,86348,7452861
Andaman & Nicobar Islands,nicobars district,2023,4,2817,523637
Andaman & Nicobar Islands,north and middle andaman district,2024,1,15539,9022450
Andaman & Nicobar Islands,south andaman district,2024,1,89907,12147903
Andaman & Nicobar Islands,nicobars district,2024,1,2965,7368398
Andaman & Nicobar Islands,north and middle andaman district,2024,2,16183,6159746
Andaman & Nicobar Islands,south andaman district,2024,2,93421,6749599
Andaman & Nicobar Islands,nicobars district,2024,2,3083,3967538
