state,district,year,quarter,count,amount
Andaman & Nicobar Islands,,2020,2,3,565.0
Andaman & Nicobar Islands,,2020,2,3,795.0
Andaman & Nicobar Islands,,2020,3,35,13651.0
Andaman & Nicobar Islands,,2020,3,5,1448.0
Andaman & Nicobar Islands,,2020,3,1,281.0
Andaman & Nicobar Islands,,2020,4,109,137494.0
Andaman & Nicobar Islands,,2020,4,13,17734.0
Andaman & Nicobar Islands,,2020,4,2,2747.0
Andaman & Nicobar Islands,,2021,1,164,167044.0
Andaman & Nicobar Islands,,2021,1,48,63978.0
Andaman & Nicobar Islands,,2021,1,13,13244.0
Andaman & Nicobar Islands,,2021,2,105,121104.0
Andaman & Nicobar Islands,,2021,2,28,45311.0
Andaman & Nicobar Islands,,2021,2,4,15089.0
Andaman & Nicobar Islands,,2021,3,182,223699.0
Andaman & Nicobar Islands,,2021,3,33,50997.0
Andaman & Nicobar Islands,,2021,3,15,30539.0
Andaman & Nicobar Islands,,2021,4,632,800758.0
Andaman & Nicobar Islands,,2021,4,81,182061.0
Andaman & Nicobar Islands,,2021,4,44,73561.0
Andaman & Nicobar Islands,,2022,1,692,982206.0
Andaman & Nicobar Islands,,2022,1,48,85229.0
Andaman & Nicobar Islands,,2022,1,28,63852.0
Andaman & Nicobar Islands,,2022,2,430,633029.0
Andaman & Nicobar Islands,,2022,2,45,90403.0
Andaman & Nicobar Islands,,2022,2,26,56308.0
Andaman & Nicobar Islands,,2022,3,535,687813.0
Andaman & Nicobar Islands,,2022,3,70,129013.0
Andaman & Nicobar Islands,,2022,3,38,85640.0
Andaman & Nicobar Islands,,2022,4,750,1114857.0
Andaman & Nicobar Islands,,2022,4,112,224198.0
Andaman & Nicobar Islands,,2022,4,39,102155.0
Andaman & Nicobar Islands,,2023,1,872,1172083.0
Andaman & Nicobar Islands,,2023,1,85,178969.0
Andaman & Nicobar Islands,,2023,1,47,88146.0
Andaman & Nicobar Islands,,2023,2,670,1060976.0
Andaman & Nicobar Islands,,2023,2,56,109742.0
Andaman & Nicobar Islands,,2023,2,42,62677.0
Andaman & Nicobar Islands,,2023,3,682,1052324.0
Andaman & Nicobar Islands,,2023,3,77,133536.0
Andaman & Nicobar Islands,,2023,3,36,65285.0
Andaman & Nicobar Islands,,2023,4,1006,1504528.0
Andaman & Nicobar Islands,,2023,4,95,156995.0
Andaman & Nicobar Islands,,2023,4,44,96298.0
Andaman & Nicobar Islands,,2024,1,1190,1657627.0
Andaman & Nicobar Islands,,2024,1,125,229226.0
Andaman & Nicobar Islands,,2024,1,56,77703.0
Andaman & Nicobar Islands,,2024,2,974,1513489.0
Andaman & Nicobar Islands,,2024,2,74,164686.0
Andaman & Nicobar Islands,,2024,2,49,66519.0
Andaman & Nicobar Islands,,2024,3,1044,1530179.0
Andaman & Nicobar Islands,,2024,3,95,151791.0
Andaman & Nicobar Islands,,2024,3,51,68638.0
Andaman & Nicobar Islands,,2024,3,1,2192.0
Andaman & Nicobar Islands,,2024,4,1085,1670015.0
Andaman & Nicobar Islands,,2024,4,131,219770.0
Andaman & Nicobar Islands,,2024,4,77,136595.0
Andhra Pradesh,,2020,2,3504,614212.0
