state,district,year,quarter,registered_users
Andaman & Nicobar Islands,south andaman,2018,1,5846
Andaman & Nicobar Islands,north and middle andaman,2018,1,632
Andaman & Nicobar Islands,nicobars,2018,1,262
Andaman & Nicobar Islands,south andaman,2018,2,8143
Andaman & Nicobar Islands,north and middle andaman,2018,2,911
Andaman & Nicobar Islands,nicobars,2018,2,351
Andaman & Nicobar Islands,south andaman,2018,3,10474
Andaman & Nicobar Islands,north and middle andaman,2018,3,1208
Andaman & Nicobar Islands,nicobars,2018,3,467
Andaman & Nicobar Islands,south andaman,2018,4,13133
Andaman & Nicobar Islands,north and middle andaman,2018,4,1553
Andaman & Nicobar Islands,nicobars,2018,4,536
Andaman & Nicobar Islands,south andaman,2019,1,15961
Andaman & Nicobar Islands,north and middle andaman,2019,1,2013
Andaman & Nicobar Islands,nicobars,2019,1,622
Andaman & Nicobar Islands,south andaman,2019,2,18621
Andaman & Nicobar Islands,north and middle andaman,2019,2,2417
Andaman & Nicobar Islands,nicobars,2019,2,693
Andaman & Nicobar Islands,south andaman,2019,3,20518
Andaman & Nicobar Islands,north and middle andaman,2019,3,2662
Andaman & Nicobar Islands,nicobars,2019,3,751
Andaman & Nicobar Islands,south andaman,2019,4,22202
Andaman & Nicobar Islands,north and middle andaman,2019,4,2955
Andaman & Nicobar Islands,nicobars,2019,4,803
Andaman & Nicobar Islands,south andaman,2020,1,24174
Andaman & Nicobar Islands,north and middle andaman,2020,1,3315
Andaman & Nicobar Islands,nicobars,2020,1,879
Andaman & Nicobar Islands,south andaman,2020,2,27626
Andaman & Nicobar Islands,north and middle andaman,2020,2,4100
Andaman & Nicobar Islands,nicobars,2020,2,984
Andaman & Nicobar Islands,south andaman,2020,3,34833
Andaman & Nicobar Islands,north and middle andaman,2020,3,5355
Andaman & Nicobar Islands,nicobars,2020,3,1147
Andaman & Nicobar Islands,south andaman,2020,4,43908
Andaman & Nicobar Islands,north and middle andaman,2020,4,7076
Andaman & Nicobar Islands,nicobars,2020,4,1412
Andaman & Nicobar Islands,south andaman,2021,1,48352
Andaman & Nicobar Islands,north and middle andaman,2021,1,7833
Andaman & Nicobar Islands,nicobars,2021,1,1573
Andaman & Nicobar Islands,south andaman,2021,2,51903
Andaman & Nicobar Islands,north and middle andaman,2021,2,8493
Andaman & Nicobar Islands,nicobars,2021,2,1699
Andaman & Nicobar Islands,south andaman,2021,3,55873
Andaman & Nicobar Islands,north and middle andaman,2021,3,9263
Andaman & Nicobar Islands,nicobars,2021,3,1846
Andaman & Nicobar Islands,south andaman,2021,4,59807
Andaman & Nicobar Islands,north and middle andaman,2021,4,10002
Andaman & Nicobar Islands,nicobars,2021,4,1971
Andaman & Nicobar Islands,south andaman,2022,1,63487
Andaman & Nicobar Islands,north and middle andaman,2022,1,10720
Andaman & Nicobar Islands,nicobars,2022,1,2081
Andaman & Nicobar Islands,south andaman,2022,2,66959
Andaman & Nicobar Islands,north and middle andaman,2022,2,11379
Andaman & Nicobar Islands,nicobars,2022,2,2192
Andaman & Nicobar Islands,south andaman,2022,3,70445
Andaman & Nicobar Islands,north and middle andaman,2022,3,11897
Andaman & Nicobar Islands,nicobars,2022,3,2300
Andaman & Nicobar Islands,south andaman,2022,4,73692
Andaman & Nicobar Islands,north and middle andaman,2022,4,12361
Andaman & Nicobar Islands,nicobars,2022,4,2389
Andaman & Nicobar Islands,south andaman,2023,1,77052
Andaman & Nicobar Islands,north and middle andaman,2023,1,12941
Andaman & Nicobar Islands,nicobars,2023,1,2491
Andaman & Nicobar Islands,south andaman,2023,2,80112
Andaman & Nicobar Islands,north and middle andaman,2023,2,13600
Andaman & Nicobar Islands,nicobars,2023,2,2617
Andaman & Nicobar Islands,south andaman,2023,3,83305
